净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
-662818.63,SZ300234,52425306.81,1196975198.07,1196975198.07,194406413.04,开尔新材,2018-06-30,6.62,96733518.31,1006735467.48,190239730.59,250234946.74,9650000.0,179295065.72,254200833.98,37584302.92,10544214.77,,611942568.62,190239730.59,854441.86,28953.46
-2079686.87,SZ300234,53369113.52,1193433784.34,1193433784.34,184300903.86,开尔新材,2018-03-31,0,46420380.59,1005623378.13,187810406.21,242429360.33,3680000.0,176529632.86,252071061.23,37584302.92,11706436.14,,614078374.72,187810406.21,-1590763.47,28953.46
-7016706.12,SZ300234,53689362.19,1219268677.11,1219268677.11,173522692.09,开尔新材,2017-12-31,0,353215210.81,1007450648.36,211818028.75,244953317.83,2.496E7,200140975.5,253507914.64,37584302.92,11817388.67,,781313937.56,211818028.75,-3886104.14,28953.46
1616598.45,SZ300234,54405161.83,1206243076.79,1206243076.79,196542763.58,开尔新材,2017-09-30,0,231469466.19,1010084397.05,196158679.74,216404903.01,1.836E7,186620106.77,263475388.19,35695582.9,9863348.1,,788247711.48,196158679.74,4561825.77,28953.46
263831.64,SZ300234,54728421.52,1176187004.52,1176187004.52,201225684.26,开尔新材,2017-06-30,0,131956771.4,1008652540.09,167534464.43,221422497.68,1.219E7,160131396.83,262099356.62,35695582.9,8686199.53,,766283408.96,167534464.43,2541912.55,28953.46
-2289531.75,SZ300234,55054627.4,1177438706.67,1177438706.67,167665006.22,开尔新材,2017-03-31,0,52272363.09,1008908459,168530247.67,223188189.62,6140000.0,160891509.34,262098280.63,35695582.9,8427296.29,,768197334.5,168530247.67,-2023077.23,28953.46
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
255462847.47,SZ300409,181464393.79,5143629414.21,5143629414.21,1431222810.31,道氏技术,2018-06-30,16.3,1677420961.11,2194302324.77,2949327089.44,715128490.02,6.148E7,2209324032.38,504956771.56,41342701.11,26374980.45,18367525.96,3474748194.07,2949327089.44,300119383.87,38700.27
120491595.12,SZ300409,172366342.41,4670466852.43,4670466852.43,1196119000.91,道氏技术,2018-03-31,0,742568937.65,2087667465.88,2582799386.55,586608512.08,3.625E7,1823668355.52,476621739.54,41342701.11,30792897.92,8600231.15,3084395945.36,2582799386.55,136774020.9,38700.27
